"filename","anova_p","max_mean_freq","df_sig"
"37-18_Trial32_chpaddle01.csv","<0.0001",9.6,"Yes"
"37-18_Trial32_chpaddle02.csv","<0.0001",9.3,"Yes"
"37-18_Trial32_chpaddle03.csv","<0.0001",9.9,"No"
"37-18_Trial32_chpaddle04.csv","<0.0001",9.6,"Yes"
"37-18_Trial32_chpaddle05.csv","<0.0001",9.9,"No"
"37-18_Trial32_chpaddle06.csv","<0.0001",9.6,"Yes"
"40-18_Trial25_chpaddle01.csv","<0.0001",9.6,"No"
"40-18_Trial25_chpaddle02.csv","0.0159",8.4,"No"
"40-18_Trial25_chpaddle03.csv","0.8801",14.1,"No"
"40-18_Trial25_chpaddle04.csv","<0.0001",9.6,"Yes"
"40-18_Trial25_chpaddle05.csv","0.0443",10.5,"No"
"40-18_Trial25_chpaddle06.csv","0.2573",8.1,"No"
"48-18_Trial35_chpaddle01.csv","<0.0001",9,"No"
"48-18_Trial35_chpaddle02.csv","0.1901",11.7,"No"
"48-18_Trial35_chpaddle03.csv","0.0158",8.7,"No"
"48-18_Trial35_chpaddle04.csv","0.3402",11.1,"No"
"48-18_Trial35_chpaddle05.csv","0.0877",11.7,"No"
"48-18_Trial35_chpaddle06.csv","5e-04",11.7,"No"
