filename,anova_p,maxmeanpower_freq,df_sig,DF_significant?
13-18_Trial02_chpaddle01-02.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01-03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle01.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02-03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle02.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle03-04.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle03.csv,<0.0001,9.3,Yes,1
13-18_Trial02_chpaddle04.csv,<0.0001,9.3,Yes,1
14-18_Trial05_chpaddle01-02.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle01-03.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle01-04.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle01.csv,<0.0001,9.9,Yes,1
14-18_Trial05_chpaddle02-03.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle02-04.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle02.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle03-04.csv,<0.0001,10.2,Yes,1
14-18_Trial05_chpaddle03.csv,<0.0001,10.5,Yes,1
14-18_Trial05_chpaddle04.csv,<0.0001,10.2,Yes,1
15-18_Trial08_chpaddle01-02.csv,0.0024,9,No,0
15-18_Trial08_chpaddle01-03.csv,<0.0001,9,No,0
15-18_Trial08_chpaddle01-04.csv,<0.0001,9.3,No,0
15-18_Trial08_chpaddle01.csv,<0.0001,9,No,0
15-18_Trial08_chpaddle02-03.csv,<0.0001,15,Yes,1
15-18_Trial08_chpaddle02-04.csv,<0.0001,8.7,Yes,1
15-18_Trial08_chpaddle02.csv,0.0024,14.4,No,0
15-18_Trial08_chpaddle03-04.csv,<0.0001,8.4,Yes,1
15-18_Trial08_chpaddle03.csv,<0.0001,8.7,No,0
15-18_Trial08_chpaddle04.csv,<0.0001,10.5,No,0
16-18_Trial03_chpaddle02-03.csv,<0.0001,10.2,Yes,1
16-18_Trial03_chpaddle02-04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle02-06.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle02.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle03-04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle03-06.csv,<0.0001,10.2,No,0
16-18_Trial03_chpaddle03.csv,<0.0001,10.2,Yes,1
16-18_Trial03_chpaddle04-06.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle04.csv,<0.0001,9.9,Yes,1
16-18_Trial03_chpaddle06.csv,<0.0001,10.2,No,0
29-18_Trial01_chpaddle01-02.csv,0.024,8.1,No,0
29-18_Trial01_chpaddle01-03.csv,<0.0001,8.7,No,0
29-18_Trial01_chpaddle01-04.csv,0.0314,8.1,No,0
29-18_Trial01_chpaddle01-05.csv,0.1975,8.1,No,0
